Group,color,dots,Date Day 0,Generation,Name,PG_avg,Biol_Reps,Day_N,Set,GI_R1,PG_DayN_R1,PG_DayNStD_R1,GI_R2,PG_D5_R2,PG_D5StD_R2,GI_R3,PG_D5_R3,PG_D5StD_R3,Total Seed,AR,ABA,Stdev btwn biol reps,Primer6,P20,P34,MKK3,P29
Zak-g,G,B,2.02.2015,BC3F3,5.2.91,70,2,5,1-300 5.2 set 2,0.333333333,60,10,0.426666667,80,10,-,-,-,-,-,2,14.14213562,A,A,A,A,A
Zak-g,G,B,2.02.2015,BC3F3,5.2.198,63.33333333,2,5,1-300 5.2 set 3,0.3,60,10,0.3,66.66666667,20.81665999,-,-,-,-,-,2,4.714045208,A,A,-,A,A
Zak-g,G,B,2.02.2015,BC3F3,5.2.205,35,2,5,1-300 5.2 set 3,0.173333333,30,0,0.18,40,10,-,-,-,-,-,2,7.071067812,A,A,-,A,A
Zak-g,G,B,7.25.2017,BC3F3,5.2.995,89.87654321,3,5,948 5.2 rep1,0.486666667,76.66666667,20.81665999,0.716296296,96.2962963,6.415002991,0.646666667,96.66666667,5.773502692,30,41d,5uM,10.58205467,A,A,-,A,A
Zak-g,G,B,7.7.2017,BC3F3,5.2.1009,92.12962963,3,5,948 Random,0.340740741,83.7962963,7.649403538,0.591851852,92.59259259,12.83000598,0.686666667,100,0,25,49d,5uM,6.144921435,A,A,-,A,A
Zak-g,G,B,7.13.2017,BC3F3,5.1.453,46.66666667,1,4,Random100,0.22,46.66666667,5.773502692,-,-,-,-,-,-,30,42d,10uM,-,A,A,-,A,A
Zak-g,G,B,7.13.2017,BC3F3,5.1.479,46.66666667,1,4,Random100,0.22,46.66666667,5.773502692,-,-,-,-,-,-,29,42d,10uM,-,A,A,-,A,A
Zak-g,G,B,7.13.2017,BC3F3,5.1.488,50,1,4,Random100,0.333333333,50,20,-,-,-,-,-,-,30,42d,10uM,-,A,A,-,A,A
Zak-g,G,B,7.13.2017,BC3F3,5.1.536,80,1,4,Random100,0.406666667,80,17.32050808,-,-,-,-,-,-,30,42d,10uM,-,A,A,-,A,A
Zak-g,G,B,7.13.2017,BC3F3,5.1.537,49.44444444,1,4,Random100,0.281296296,49.44444444,22.38137453,-,-,-,-,-,-,27,42d,10uM,-,A,A,-,A,A
Zak-g,G,B,7.20.2017,BC3F3,5.1.551,46.66666667,1,4,Remaining 5.1,0.313333333,46.66666667,11.54700538,-,-,-,-,-,-,30,59d,10uM,-,A,A,-,A,-
Zak-g,G,B,7.20.2017,BC3F3,5.1.435,83.33333333,1,4,Remaining 5.1,0.533333333,83.33333333,5.773502692,-,-,-,-,-,-,30,59d,10uM,-,A,A,-,A,A
Zak-g,G,B,7.20.2017,BC3F3,5.1.500,60,1,4,Remaining 5.1,0.393333333,60,26.45751311,-,-,-,-,-,-,30,59d,10uM,-,A,A,-,A,A
Zak-g,G,B,7.20.2017,BC3F3,5.1.509,43.33333333,1,4,Remaining 5.1,0.326666667,43.33333333,15.27525232,-,-,-,-,-,-,30,59d,10uM,-,A,A,-,A,A
